丰田,广汽丰田汽车有限公司,凯美瑞,轿车,GTM7200CEE（2018款 2.0E 精英版）,--,G,G,G,\N,G,G,G,G,G,G,17.98万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊-后排侧气囊-前/后排侧气帘-驾驶席膝部气囊-副驾驶席膝部气囊
领克,浙江豪情汽车制造有限公司,领克01,SUV,JL6453C10（2017款 型）,--,G,G,G,\N,G,G,G,G,G,G,16.88万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊-前/后排侧气帘-FCW-AEB
宝骏,上汽通用五菱汽车股份有限公司,宝骏510,SUV,LZW6420CJY（2017款 1.5L 手动 舒适型）,--,P,A,--,\N,P,P,M,G,A,\N,5.48万元,驾驶员正面气囊
魏派,长城汽车股份有限公司,VV5,SUV,CC7203UM02A（2017款 VV5超豪型）,--,A,G,G,\N,G,A,A,G,G,G,15.00万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊-前/后排侧气帘-FCW-AEB
本田,东风本田汽车有限公司,思域,轿车,DHW7101FCCSE（2016款 舒适版自动 180TURBO）,--,M,G,G,\N,A,P,G,G,G,G,12.79万元,驾驶员正面气囊-前排乘员正面气囊
奔驰,北京奔驰汽车有限公司,C级,轿车,BJ7204HE（2018款 C 200 运动版）,--,G,A,G,\N,A,A,G,G,A,G,31.28万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊-前/后排侧气帘-驾驶席膝部气囊-FCW-AEB
奇瑞,奇瑞汽车股份有限公司,艾瑞泽5,轿车,SQR7155J60T2（2018款 致敬青春版CVT）,P,M,A,--,P,M,P,G,G,A,\N,7.09万元,驾驶员正面气囊-前排乘员正面气囊
现代,北京现代汽车有限公司,领动,轿车,BH7145TAV（2018款 双离合炫动活力型）,P,M,A,G,P,G,P,G,G,A,G,12.48万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊
传祺,广州汽车集团乘用车有限公司,GS7,SUV,GAC6470C2B5（2017款 280T 豪华版）,P,A,M,--,P,A,A,A,G,M,\N,14.98万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊
起亚,东风悦达起亚汽车有限公司,智跑,SUV,YQZ6444AE5（2018款 智享豪华A/T）,P,M,A,--,P,P,A,A,G,A,\N,13.99万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊
斯柯达,上汽大众汽车有限公司,柯迪亚克,SUV,SVW6476GFD（2018款 TSI330 5座标准版）,G,M,G,G,G,A,P,G,G,G,G,18.98万元,驾驶员正面气囊-前排乘员正面气囊
丰田,天津一汽丰田汽车有限公司,奕泽,SUV,TV7203N（2018款 奕驰版）,A,G,G,G,A,G,G,G,G,G,G,15.88万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊-后排侧气囊-前/后排侧气帘-驾驶席膝部气囊-FCW-AEB
众泰,浙江众泰汽车制造有限公司,T600,SUV,ZTA6460（2019款 运动版 1.5T MT尊享型）,M,A,A,--,M,A,G,A,A,A,\N,10.18万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊-前/后排侧气帘
江淮,安徽江淮汽车集团股份有限公司,瑞风S3,SUV,HFC7161MTV（2018款 智驱版 1.6L CVT豪华型）,P,M,A,--,P,M,P,A,G,A,\N,8.38万元,驾驶员正面气囊-前排乘员正面气囊
别克,上汽通用汽车有限公司,GL8,MPV,SGM6522UAA1（2017款 28T 舒适型）,P,M,A,G,P,P,M,A,G,A,G,28.99万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊-前/后排侧气帘
比亚迪,比亚迪汽车工业有限公司,宋MAX,MPV,BYD6470MT2（2018款 1.5TI 自动智联豪华型 6座）,P,P,G,--,P,P,P,A,G,G,\N,9.99万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊
日产,东风汽车有限公司,西玛,轿车,DFL7253VAL2（2016款 2.5XL 豪华版）,M,A,G,A,M,M,G,A,G,G,A,24.98万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊-前/后排侧气帘-FCW-AEB
本田,广汽本田汽车有限公司,凌派,轿车,GHA7100GAC5A（2019款 180Turbo CVT 舒适版）,P,M,G,G,P,M,M,G,G,G,G,10.98万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊
凯迪拉克,上汽通用汽车有限公司,XT4,SUV,SGM6468EBA1（2018款 28T技术型）,P,G,G,G,P,A,G,G,G,G,G,25.97万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊-前/后排侧气帘
三菱,广汽三菱汽车有限公司,欧蓝德,SUV,GMC6472A（2019款 2.0L畅享版）,P,M,G,G,P,A,A,M,A,G,G,17.28万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊-前/后排侧气帘-驾驶席膝部气囊
东风风神,东风汽车集团有限公司,AX7,SUV,DFM6460D5B2（2019款 AI先锋型）,P,M,P,M,P,P,A,A,G,P,M,11.99万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊
现代,北京现代汽车有限公司,菲斯塔,轿车,BH7140CAAV（2019款 240 T GDi GLX DCT 运动版）,P,M,A,G,P,M,M,G,G,A,G,12.98万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊
哈弗,长城汽车股份有限公司,F5,SUV,CC7154UM0A（哈弗F5 i型）,P,A,G,--,P,A,M,G,G,G,\N,10.8万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊
北京,北京汽车股份有限公司,绅宝D50,轿车,BJ7151C4DCB（2018款 CVT尊贵智驾版）,P,M,A,--,P,M,P,A,G,A,\N,8.69万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊
日产,东风汽车有限公司,天籁,轿车,DFL7201VANF2（2019款 2.0L XL舒适版）,M,G,G,G,M,G,G,G,G,G,G,18.68万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊-前/后排侧气帘
沃尔沃,浙江豪情汽车制造有限公司,XC60,SUV,VCC6474H27（2019款 T5 四驱智逸版）,P,G,G,G,P,G,G,G,G,G,G,39.19万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊-前/后排侧气帘-驾驶席膝部气囊-FCW-AEB
大众,上汽大众汽车有限公司,帕萨特,轿车,SVW71423CT（2019款280TSI 商务版）,A,M,G,G,A,P,A,G,G,G,G,18.49万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊
吉普,广汽菲亚特克莱斯勒汽车有限公司,大指挥官,SUV,GFA6491FTDBA（2018款 2.0T四驱悦享版）,M,G,G,G,M,A,G,G,G,G,G,28.98万元,驾驶员正面气囊-前排乘员正面气囊-前排侧气囊-前/后排侧气帘-驾驶席膝部气囊

